Simulation error	Error en la simulación
Temporary files not written	No se han escrito los archivos temporarios
Cannot compare scenarios	No puede comparar situaciones
The selected file xyz does not appear to contain an NAADSM scenario	El archivo xys seleccionado no contiene una situación del NAADSM
or may have been created with a newer version of NAADSM.	o puede haber sido creado con una versión más nueva del NAADSM.
It cannot be displayed.	No se puede mostrar.
The format of the selected scenario file is out of date.  You may wish to consider re-running the the scenario in this version of NAADSM.	El formato del archivo de situación seleccionado está desactualizado. Considere correr nuevamente la situación en esta versión del NAADSM.
Scenario file out of date	Archivo de situación desactualizado.
The selected scenario file xyz contains no output.	El archivo de situación seleccionado no contiene resultados.
The simulation in file xyz did not run to completion.	La simulación del archivo xyz no corrió en forma completa
Simulation is complete!	Se ha completado la simulación.
Simulation interrupted by user.	La simulación ha sido interrumpida por el usuario.
Data entry problem	Problema en la entrada de datos
A production type with this name is already present.	Ya existe un tipo de producción con este nombre
Cannot add production type	No puede agregar tipo de producción
Cannot modify production type	No puede modificar tipo de producción
The two selected scenario files contain different production types.	Los dos archivos de situación seleccionados contienen tipos de producción diferentes
It will not be possible to compare simulation outputs for individual production types.	No será posible comparar resultados de simulación para tipos de producción individuales
Production types do not match	Los tipos de producción no coinciden
Only one of the two selected scenario files uses zones.	Solamente uno de los dos archivos de situación seleccionados usa zonas
It will not be possible to compare zone outputs.	No será posible comparar los resultados de zona
Zones do not match	Las zonas no coinciden
The two selected scenario files contain different zones.	Los dos archivos de situación seleccionados contienen diferentes zonas
It will not be possible to compare simulation outputs for individual zones.	No será posible comparar resultados de simulación para zonas individuales
No tables are currently displayed.	No se exhibe muestra ninguna momentáneamente
File xyz has been successfully saved.	El archivo xyz ha sido guardado exitosamente
File saved	Archivo guardado
File xyz could not be written.  Please check your disk and your folder permissions.	No se ha podido escribir el archivo xyz. Por favor, revise sus permisos y su disco.
Save failed	Falla en guardar
table has	tabla tiene
tables have	tablas tienen
The visible xyz been copied to the clipboard.	El(los) gráfico(s) visible(s) se ha copiado en el portapapeles
Copy successful	Copia exitosa
No charts are currently displayed.	No se están exhibiendo los gráficos
chart has	el gráfico tiene
charts have	los gráficos tienen
An application error occurred.  The image could not be created.	Ha occurrido un error en la aplicación. No se pudo crear la imagen.
The radius for each zone must be greater than 0.	El radio para cada zona debe ser mayor que 0
Invalid zone radius	Radio de zona inválido
Each zone must have a unique radius.	Cada zona debe tener un radio único
Please enter a name for the new zone.	Favor de entrar el nombre de la nueva zona.
A zone with this name is already present.	Ya existe una zona con este nombre.
Cannot add zone	No se puede agregar zona
Cannot rename zone	No se puede re-nombrar zona
Probability must be between 0 and 1, inclusive.	La probabilidad debe ser entre 0 y 1, inclusive.
Parameter out of range	Parámetro fuera de rango
Maximum distance of spread must be at least 1 km.	La máxima distancia de diseminación debe ser como mínimo de 1 km.
Destruction ring radius must be greater than 0.	El radio de destrucción debe ser mayor que 0.
The value in the current cell does not have a valid format.	El valor de la celda actual no tiene un formato válido.
Please correct this problem before continuing.	Por favor, corrija este problema antes de continuar.
Invalid data	Datos inválidos
Latitude values must be between -90 and 90 degrees, inclusive.	Los valores de latitud deben ser entre -90 y 90 grados inclusive.
Longitude values must be between -180 and 180 degrees, inclusive.	Los valores de longitud deben ser enter -180 y 180 grados inclusive.
There are too many units (zyx) to display practically in this program.	Hay demasiadas unidades para exhibir el programa en forma práctica.
You may use Microsoft Access or a similar application to edit units in your scenario database.	Puede usar Microsoft Access o una apliicación similar para editar las unidades en la base de datos de situaciones.
Too many units	Demasiadas unidades
Please specify a valid unit size	Por favor, especifique un tamaño de unidad válido
No unit size	No hay tamaño de unidad
Please specify a valid number of days	Por favor, especifique un número válido de días
Days unspecified	Días no especificados
Probability of direct trace success must be between 0 and 1, inclusive.	La probabilidad de éxito de rastreo directo debe ser enter 0 y 1, inclusive.
Probability of indirect trace success must be between 0 and 1, inclusive.	La probabilidad de éxito de rastreo indirecto debe ser entre 0 y 1, inclusive.
Total number of unit days spent in a zone (1 unit for 1 day = 1 unit day, 1 unit for 2 days = 2 unit days, etc.)	Número total de días unidad de permanencia en una zona (1 unidad por 1 día=1 día unidad, 1 unidad por 2 días=2 días unidad, etc.)
Total number of animal days spent in a zone (1 animal for 1 day = 1 animal day, 1 animal for 2 days = 2 animal days, etc.)	Número total de días animal de permanencia en una zona (1 animal por 1 día= 1 día animal, 1 animal por 2 días= 2 días animal, etc.)
Total cost associated with surveillance in a zone over the course of an iteration	Costo total asociado con la vigilancia en una zona durante el curso de una repetición
Total cost of appraisal for all units destroyed over the course of an iteration.	Costo total de tasación de todas las unidades destruidas durante el curso de una repetición.
Total cost of cleaning and disinfection for all units destroyed over the course of an iteration.	Costo total de limpieza y desinfección de todas las unidades destruidas durante el curso de una repetición.
Total cost of euthanasia for all animals in units destroyed over the course of an iteration.	Costo total de eutanasia de todos los animales en unidades destruidas durante el curso de una repetición.
Total cost of indemnification for all animals in units destroyed over the course of an iteration.	Costo total de indemnificación por todos los animales en unidades destruidas durante el curso de una repetición.
Total cost of carcass disposal for all animals in units destroyed over the course of an iteration.	Costo total por el descarte de carcasas de todos los animales en unidades destruidas durante el curso de una repetición.
Total cost associated with destruction over the course of an iteration.	Costo total asociado con destrucción durante el curso de una repetición.
Total cost of vaccination setup for all units vaccinated over the course of an iteration.	Costo total asociado con vacunación para todas las unidades vacunadas durante el curso de una repetición.
Total cost of vaccination for all animals in units vaccinated over the course of an iteration.	Costo total asociado con vacunación para todos los animales en las unidades vacunadas durante el curso de una repetición.
Total cost associated with vaccination over the course of an iteration.	Costo total asociado con vacunaciones durante el curso de una repetición.
Total cost of all activities over the course of an iteration.	Costo total de todas las actividades durante el cusro de una repetición.
Number of units that are or become susceptible over the course of an iteration	Número de unidades que son o se hacen susceptibles durante el curso de una repetición
Total number of animals in all units that are or become susceptible over the course of an iteration	Número total de animales en todas las unidades que son o se hacen susceptibles durante el curso de una repetición
Number of units that are or become latent over the course of an iteration	Número de unidades que son o se hacen latentes durante el curso de una repetición
Total number of animals in all units that are or become latent over the course of an iteration	Número total de animales en todas las unidades que son o se hacen latentes durante el curso de una repetición
Number of units that are or become subclinically infectious over the course of an iteration	Número total de unidades que están o se convierten en infectadas subclínicamente durante el curso de una repetición
Total number of animals in all units that are or become infectious over the course of an iteration	Número total de animales en todas las unidades que son o se hacen infecciosas durante el curso de una repetición
Number of units that are or become clinical over the course of an iteration	Número de unidades que son o se hacen clínicas durante el curso de una repetición
Total number of animals in all units that are or become clinical over the course of an iteration	Número total de animales  en todas las unidades que son o se vuelven clínicas durante el curso de una repetición
Number of units that are or become naturally immune over the course of an iteration	Número de unidades que son o se hacen naturalmente inmunes durante el curso de una repetición
Total number of animals in all units that are or become naturally immune over the course of an iteration	Número total del animales en todas las unidades que son o se hacen naturalmente inmunes durante el curso de una repetición
Number of units that are or become vaccine immune over the course of an iteration	Número de unidades que son o se hacen inmunes por vacunación durante el curso de una repetición
Total number of animals in all units that are or become vaccine immune over the course of an iteration	Número total de animales en todas las unidades que son o se hacen inmunes por vacunación durante el curso de una repetición
Number of units that are destroyed over the course of an iteration	Número de unidades que son destruidas durante el curso de una repetición
Total number of animals in all units that are destroyed over the course of an iteration	Número total de animales en todas las unidades que son destruidas durante el curso de una repetición
Number of units that are initially infected at the beginning of an iteration	Número de unidades inicialmente infectadas al comienzo de una repetición
Number of animals in units that are initially infected at the beginning of an iteration	Número de animales en unidades que están inicialmente infectadas durante el comienzo de una repetición
Number of units that become infected by airborne spread over the course of an iteration	Número de unidades que se infectan por diseminación aerógena durante el curso de una repetición
Number of animals in units that become infected by airborne spread over the course of an iteration	Número de animales en unidades que se infectan por diseminación aerógena durante el curso de una repetición
Number of units that become infected by direct contact over the course of an iteration	Número de unidades que se infectan por contacto directo durante el curos de una repetición
Number of animals in units that become infected by direct contact over the course of an iteration	Número de animales en unidades que se infectan por contacto directo durante el curso de una repetición
Number of units that become infected by indirect contact over the course of an iteration	Número de unidades que se infectan por contacto indirecto durante el curso de una repetición
Number of animals in units that become infected by indirect contact over the course of an iteration	Número de animales en unidades que se infectan por contacto indirecto durante el curso de una repetición
Total number of units directly exposed to any infected unit over the course of an iteration	Número total de unidades directamente expuestas a cualquier unidad infectada durante el curso de una repetición
Total number of animals in units directly exposed to any infected unit over the course of an iteration	Número total de animales en unidades directamente expuestos a cualquier unidad infectada durante el curso de una repetición
Total number of units indirectly exposed to any infected unit over the course of an iteration	Número total de unidades indirectamente expuestas a cualquier unidad infectada durante el curso de una repetición
Total number of animals in units indirectly exposed to any infected unit over the course of an iteration	Número total de animales en unidades indirectamente expuestas a cualquier unidad infectada durante el curso de una repetición
Number of units directly exposed and successfully traced over the course of an iteration	Número de unidades directamente expuestas y rastreadas exitosamente durante el curso de una repetición
Total number of animals in all units directly exposed and successfully traced over the course of an iteration	Número de animales en todas las unidades directamente expuestas y rastreadas exitosamente durante el curso de una repetición
Number of units indirectly exposed and successfully traced over the course of an iteration	Número de unidades indirectamente expuestas y rastreadas exitosamente durante el curso de una repetición
Total number of animals in all units indirectly exposed and successfully traced over the course of an iteration	Número de animales en todas las unidades indirectamente expuestos y rastreados exitosamente durante el curso de una repetición
Number of units directly exposed that could possibly have been traced over the course of an iteration	Número of unidades expuestas directamente que se hubiesen podido rastrear durante el curso de una repetición
Total number of animals in all units directly exposed that could possibly have been traced over the course of an iteration	Número total de animales en todas las unidades con exposición directa que se hubiesen podido rastrear durante el curso de una repetición
Number of units indirectly exposed that could possibly have been traced over the course of an iteration	Número de unidades expuestas indirectamente que se hubiensen podido rasterar durante el curso de una repetición
Total number of animals in units indirectly exposed that could possibly have been traced over the course of an iteration	Número total de animales en unidades expuestas indirectamente que se hubiesen podido rastrear durante el curso de una repetición
Number of units detected by clinical signs over the course of an iteration	Número de unidades detectadas por signos clínicos durante el curso de una repetición
Total number of animals in all units detected by clinical signs over the course of an iteration	Número total de animales en todas las unidades detectadas por signos clínicos durante el curso de una repetición
Number of units destroyed prior to the start of the simulation	Número de unidades destruidas antes del comienzo de una simulación
Total number of animals in units destroyed prior to the start of the simulation	Número total de animales en unidades destruidas antes del comienzo de una simulación
Number of units destroyed because they were detected positive over the course of an iteration	Número de unidades destruidas debido a que fueron detectadas positivas durante el curso de una repetición
Total number of animals in all units destroyed because they were detected positive over the course of an iteration	Número total de animales en todas las unidades destruidas debido a que fueron detectadas positivas durante el curso de una repetición
Number of units destroyed because they were direct traces over the course of an iteration	Número de unidades destruidas por ser rastreos directos durante el curso de una repetición
Total number of animals in units destroyed because they were direct traces over the course of an iteration	Número total de animales en unidades destruidas por ser rastreos directos durante el curso de una repetición
Number of units destroyed because they were indirect traces over the course of an iteration	Número de unidades destruidas por ser rastreos indirectos durante el curso de una repetición
Total number of animals in units destroyed because they were indirect traces over the course of an iteration	Número total de animales en unidades destruidas por ser rastreos indirectos durante el curso de una repetición
Number of units destroyed because they were in a destruction ring over the course of an iteration	Número de unidades destruidas debido a que se estaban en un anillo de destrucción durante el curso de una repetición
Total number of animals in all units destroyed because they were in a destruction ring over the course of an iteration	Número total de animales en todas las unidades destruidas debido por estar en un anillo de destrucción durante el curso de una repetición
Number of units destroyed for any reason over the course of an iteration	Número de unidades destruidas por cualquier motivo durante el curso de una repetición
Number of units vaccinated in rings around detected-infected units over the course of an iteration	Número de unidades vacunadas en anillo que rodean unidades infectadas y detectadas durante el curso de una repetición
Total number of animals in all units vaccinated in rings around detected-infected units over the course of an iteration	Número total de animales en todas las unidades vacunadas en anillo que rodean unidades infectadas y detectadas durante el curso de una repetición
Day of first detection of an infected unit in the specified iteration	Día en que se detecta por primera vez una unidad infectada en la repetición especificada
Day of first vaccination of an infected unit in the specified iteration	Día en que se vacuna por primera vez una unidad infectada en la repetición especificada
Day of first destruction of an infected unit in the specified iteration	Día en que se destruye por primera vez una unidad infectada en la repetición especificada
Duration of the active disease phase in the specified iteration	Duración de la fase de enfermedad activa en la repetición especificada
Duration of the outbreak in the specified iteration	Duración del brote en la repetición especificada
Total number of animals in all units destroyed for any reason over the course of an iteration	Número total de animales en todas las unidades destruidas por cualquier razón durante el curso de una repetición
Number of units that were vaccine immune prior to the start of the simulation	Número de unidades que con inmunidad vacunal antes del inicio de una repetición
Total number of animals in units that were vaccine immune prior to the start of the simulation	Número total de animales en unidades  con inmunidad vacunal antes del inicio de una repetición
Total number of new zone foci created around units of the indicated type over the course of an iteration	Número total de nuevos focos zonales creados en torno a unidades del tipo indicado durante el curso de una repetición
Ambiguous "--database" switch repetition.  Switch will be ignored.	Repetición de interruptor de "base de datos" ambigua.  El interruptor será ignorado.
Bad command line switch	Interruptor de línea de mal comando
Switch "xyz" has the wrong number of arguments.  Switch will be ignored.	El interruptor "xyz" tiene el número erróneo de argumentos.  El interruptor será ignorado.
Days since start of iteration	Días desde el comienzo de la repetición
Number of case-units	Número de unidades-caso
Loading units...	Cargando unidades...
Loading production types...	Cargando tipos de producción...
Reading units?	Leyendo unidades
Building units?	Construyendo unidades
Building unit with ID xyz	Construyendo unidad con identificación xyz
Reading scenario parameters?	Leyendo paramétros de situación
Updating units in scenario database?	Actualizando unidades en la base de datos de la situación
Checking production types?	Verificando tipos de producción
GNU General Public License	Licencia Pública General GNU
Natural immune	Inmunidad natural
ActionMainMenuBar1	ActionMainMenuBar1
lblIterationCounter	lblIterationCounter
lblDayCounter	lblDayCounter
btnTest	btnTest
Zoom:	Enfoque:
All units	Todas las unidades
Unknown	Desconocido
Vaccinated	Vacunado
Traced - Direct	Rastreo - Directo
Traced - Indirect	Rastreo - Indirecto
FormSMWizardBase	FormSMWizardBase
Please enter a name for the new production type.  NOTE: Do not enter an ID number.  It will be handled automatically.	Favor de entrar un nombre para el nuevo tipo de producción.  Nota: No entre un número de identificación.  Será dirigido automáticamente.
To add a new production type it will be necessary to delete all current output records, if present.  Continue?	Para añadir un nuevo tipo de producción será necesario borrar todos los registros de resultados actuales presentes.  ¿Desea continuar?
The current scenario file has changed. Save before closing?	El archivo de la situación actual ha cambiado.  ¿Desea guardarlo antes de cerrar?
Save current file?	¿Desea guardar el archivo actual?
Incomplete iteration detected	Repetición incompleta detectada
This scenario file is read-only.  NAADSM requires write access if you wish to modify or run this scenario.	Este archivo de situación es inalterable.  NAADSM requiere acceso para alterar si usted desea modificar o ejecutar esta situación.
Continue?	¿Desea continuar?
Read-only file	Archivo inalterable
Altered database schema detected	Detección de esquema alterado de base de datos
Continue opening the current file?	¿Desea continuar abriendo el archivo actual?
The schema of this scenario database has been altered.  Some output will not be recorded correctly, and some features may not be available or will not work properly. Unless you are an expert user, it is suggested that you do not continue.	El esquema de la base de datos de esta situación ha sido alterado.  Algunos resultados no se guardarán correctamente, y otras características no estarán disponibles o no funcionarán apropiadament.  A menos que usted sea un usuario experto, se sugiere que usted no continúe.
(Technical information: index "dynHerd_PK" does not exist on table "dynHerd".)	(Información técnica: el índice "dynHerd_PK" no existe en la tabla "dynHerd".)
This file contains output generated by an experimental, updated, unrecognized, or unsupported application.	Este archivo contiene resultados generados por una aplicación experimental, actualizada, desconocida o sin apoyo.
Would you like to clear existing output in order to rerun this scenario now?	¿Desea borrar el resultados actual para reejecutar  esta situación ahora?
Unrecognized application version	Versión desconocida de la aplicación
The format of the selected scenario file needs to be updated for use with this version of NAADSM.	El formato del archivo de situación seleccionado necesita ser actualizado para usarse con esta versión de NAADSM.
The output stored in this scenario will be deleted.	El resultado guardado en esta situación será borrado.
Scenario file is out of date	El archivo de situación esta pasado de fecha
The information stored in this scenario will not be altered.	La información guardada en esta situación no será alterada.
The scenario must be run again if you want to generate the new outputs.	La situación debe ser ejecutada nuevamente si desea generar los nuevos resultados.
Some outputs reported by this version were not recorded in the file, but those that were are still valid.	Algunos resultados reportados por esta versión no fueron guardados en el archivo, pero los que fueron guardados aún son válidos.
Please visit the NAADSM website (xyz) for information about these changes.	Por favor, visite la sitio de internet (xyz) para información sobre estos cambios.
If you continue now, existing outputs will be unchanged.  Continue?	Si continúa ahora, los resultados existentes parmanecerán iguales.  ¿Desea Continuar?
incomplete iteration	Repetición incompleta
complete iteration	repetición completa
complete iterations	repeticiones completas
Delete existing data?	¿Desea borrar los datos existentes?
This scenario file contains results for xyz complete iterations.	Este archivo de situación contiene resultados para xyz repeticiones completas.
Are you sure that you want to erase this data?	¿Está seguro de que desea borrar estos datos?
This scenario file contains output.  Changing parameters will require the deletion of existing output.	Este archivo de situación contiene resultados.  El cambio de los parámetros requerirá borrar los resultados existentes.
File contains output	El archivo contiene resultados
This function is used in several places.  Altering it will affect all of them.  Continue?	Esta función se usa en varios lugares. Alterara esta función afectará a todas las demás. ¿Desea continuar?
Multiple function instances	Múltiples instancias de función.
Removing this function will permanently delete it from the scenario file.	Remover esta función hará que se borre permanentemente del archivo de situaciones
If you want to keep this function in the scenario file but not apply it here, select ''Clear'' instead.	Si desea conservar esta función en el archivo de situaciones pero no aplicarla aquí,alternativamente seleccione 'Borrar'
Function will be permanently removed	La función será removida permanentemente
This function is used in several places.  Removing it will affect all of them.  Continue?	Esta función se usa en varios lugares. Si la remueve se afectará en todos ellos. ¿Desea continuar?
By continuing, units of this production type(s) and all output records, if present, will be deleted.	Si continúa, el/los tipo/s de unidades de producción y todos los resultados serán borrados.
Remove production type(s)	Remover tipo(s) de produción/es
these selected production types	estos tipos de producción seleccionados
Are you sure you wish to remove xyz?	¿Está seguro(a) de querer remover xyz?
Parameters for the selected production type will be applied to all other production types.  Continue?	Los parámetros para el tipo de producción seleccionado serán aplicados a todos los demás tipos de producción. ¿Desea continuar?
All production types will be changed	Se cambiarán todos los tipos de producción
There are no selected production type pairs.  Disease spread will be disabled.  Continue?	No hay seleccionados pares de tipos de producción. Se desactivará la diseminación de enfermedad. ¿Desea continuar?
No disease spread	No hay diseminación de enfermedad.
The following primary combinations may be critical to simulations:	Las siguientes combinaciones primarias pueden ser críticas para las simulaciones:
Proceed to save without these combinations?	¿Desea proceder a guardar sin estas combinaciones?
Missing combinations	Combinaciones perdidas
To add a new zone it will be necessary to delete all current output records, if present.  Continue?	Para añadir una zona nueva será necesario borrar los registros de resultados actuales si estuviesen presentes.  ¿Desea continuar?
these selected zones	estas zona seleccionadas
By continuing, this zone and all output records, if present, will be deleted.	Si continúa, esta zona y todos los resultados presentes serán borrados.
Remove zone	Remover zona
Parameters for the selected production type combination will be applied to all other combinations.  Continue?	Los parámetros de la combinación de los tipos de producción seleccionados se aplicarán a todas las demás combinaciones. ¿Desea continuar?
All combinations will be changed	Se cambiarán todas las combinaciones
Remove custom output definition	Remover las definiciones de resultados personalizados
Are you sure you want to remove the custom output definition ''xyz''?	¿Está seguro de que desea remover la definición de resultado "xyz"?
This file contains output for an incomplete iteration, as well as xyz complete iteration(s).	Este archivo contiene resultados para una repetición incompleta así como también para repeticiones xyz
It is recommended that you delete the incomplete data, and use a complete iteration to generate any single-iteration outputs.	Se recomienda borrar los datos incompletos y usar una repetición completa para generara cualquier resultado de repetición única.
Delete partial iteration?	¿Desea borrar la repetición parcial?
This file contains partial output for only one incomplete iteration.	Este archivo contiene resultados parciales para una única repetición incompleta.
It is recommended that you delete this partial output, and run the scenario again to generate any single-iteration outputs.	Se recomienda borrar este resultado parcial y correr la situación nuevamente para generar resultados de repeticiones simples.
This version (xyz) corrects calculation errors that existed in the previous version.	Esta versión corrige errores de cálculo existentes en la versión previa.
This file contains output generated by a previous version (xyz) of NAADSM.	Este archivo contiene resultados generadas por una versión previa (xyz) del NAADSM
Please visit the NAADSM website (xyz) for information about these errors to determine how they might affect your work.	Por favor, visite la página de internet del NAADSM (xyz) para información sobre estos errores y de cómo los mismos pueden afectar su trabajo.
Updated application version	Versión actualizada de la aplicación.
This version (xyz) implements a new, incompatible version of the conceptual disease spread model.	Esta versión (xyz) implementa una versión nueva e incompatible  del modelo conceptual de diseminación de enfermedad.
Please visit the NAADSM website (xyz) for information about this new version.	Por favor, visite la página de internet del NAADSM (xyz) para información sobre esta nueva versión.
Would you like to clear existing output and convert this scenario to the new version now?	¿Quisiera borrar los resultados existentes y convertir esta situación a la nueva versión ahora?
New conceptual model	Nuevo modelo conceptual
NAADSM is unable to create a new scenario file. You may need to check your available hard disk space.	NAADSM no puede crear un nuevo archivo de situación. Usted debería verificar el espacio disponible en su disco duro.
NAADSM is unable to open the selected scenario file. You may need to check your available hard disk space.	NAADSM no puede abrir un nuevo archivo de situación. Usted debería verificar el espacio disponible en su disco duro.
NAADSM is unable to create a new scenario file. You may need to check your available hard disk space or your parameter file.	NAADSM no puede crear un nuevo archivo de situación. Usted debería verificar el espacio disponible en su disco duro o los parámetros del archivo.
Please specify the number of days for each iteration:	Por favor, especifique el número de días para cada repetición:
Iteration length	Duración de la repetición
This function name is already in use.  Please enter a unique name.	El nombre de esta función ya ha sido usado. Favor de entrar un nombre único.
Duplicate function name	Duplicar el nombre de la función
Traced, direct	Rastreo, directo
Traced, indirect	Rastreo, indirecto
Unspecified	No especificado
Unit size	Tamaño de unidad
Save model scenario database as?	Guardar base de datos de situaciones del modelo como
Save as	Guardar como
Create sample model scenario database with the file name?	Crear muestra de base de datos de situaciones del modelo con el nombre de archivo
SampleScenario.mdb	MuestradeSituación.mdb
Create a scenario database	Crear una base de datos de situación
Create a scenario parameter file	Crear archivo de parámetro de situación
Create a unit file	Crear un archivo de unidades
All production types	Todos los tipos de producción
NAADSM single iteration summary (epidemiology)	Resumen de repetición singular de NAADSM (epidemiología)
NAADSM single iteration summary (direct costs)	Resumen de repetición singular de NAADSM (costos directos)
NAADSM single iteration summary	Resumen de repetición singular de NAADSM
Application version:	Versión de aplicación:
Date:	Fecha:
Scenario file:	Archivo de situación:
NAADSM scenario output summary (epidemiology)	Resumen de resultados de situación de NAADSM (epidemiología)
NAADSM scenario output summary (direct costs)	Resumen de resultados de situación de NAADSM (costos directos)
NAADSM scenario output summary (zones)	Resumen de resultados de situación de NAADSM (zonas)
All zones	Todas las zonas
NAADSM scenario output summary	Resumen de resultados de situación de NAADSM
Zone:	Zona:
Summary of xyz iterations	Resumen de repeticiones xyz
NAADSM summary epidemic curves	Resumen de curvas epidemiológicas de NAASDSM
First destruction	Primera destrucción
First vaccination	Primera vacunación
First detection	Primera detección
Outbreak over	Final del brote
Day of simulation	Día de simulación
Frequency	Frecuencia
Output value	Valor de resultado
Convergence of the mean	Convergencia de la media
Convergence of the standard deviation	Convergencia del desvío estándar
Convergence of the median	Convergencia de la mediana
Convergence of the quartile difference	Convergencia de la diferencia de cuartil
Output	Resultado
Low	Bajo
High	Alto
Newly infected units for each xyz-day interval	Unidades infectadas recientemente para cada intervalo xyz-día
Simulation day	Día de simulación
Newly detected units for each xyz-day interval	Unidades detectadas recientemente por cada intervalo xyz-día
Apparent epidemic curve (Units)	Curva epidémica aparente (Unidades)
Actual epidemic curve (Units)	Curva epidémica real (Unidades)
Apparent epidemic curve (Animals)	Curva epidémica aparente (Animales)
Actual epidemic curve (Animals)	Curva epidémica real (Animales)
&File	&Archivo
&Scenario parameters	&Parámetros de situación
&Run	&Ejecutar
&Output windows	&Resultados
Problems found	Problemas encontrados
Problems were found with some of the current units.  These problems must be corrected before this scenario can be run:	Se han encontrado problemas con algunas de las unidades actuales.  Estos problemas deben ser corregidos antes de que esta situación pueda ser ejecutada:
Latitude (xyz) is invalid.	La latitud (xyz) es inválida.
Longitude (xyz) is invalid.	La longitud (xyz) es inválida.
Initial unit size is not set.	El tamaño inicial del unidad no está establecido.
Initial unit size is 0.	El tamaño inicial del unidad es 0.
Production type is not identified.	El tipo de producción no está identificado.
Initial disease status is not set.	El estado inicial de la enfermedad no está establecido.
Production type ID xyz is unrecognized.	El tipo de producción con identificación xyz es desconocido.
Disease transitions are not simulated for units of this type, but an initial disease status is specified.	Las transiciones de enfermedad no se simulan para unidades de este tipo de producción, pero el estado inicial de la enfermedad está especificado.
Unit xyz is not valid:	La unidad xyz no es válida:
There are no units in this scenario.	No hay unidades en esta situación.
None of the current units is capable of transmitting disease: no disease spread can occur.	Ninguna de las unidades actuales es capaz de transmitir la enfermedad: no puede ocurrir ninguna diseminación de la enfermedad.
Days to immunity must be equal to or greater than 0.	Días hasta la inmunidad deben ser igual o mayor que 0.
Vaccine immune period is not set.	El período de inmunidad por vacuna no está establecido.
Vaccine immune period is not valid:	El período de inmunidad por vacuna no es válido:
Ring vaccination parameters for xyz:	Parámetros de vacunación en anillo para xyz:
Wind direction start angle is invalid.	El ángulo inicial de dirección de viento en inválido.
Wind direction end angle is invalid.	El ánugulo final de dirección de viento es inválido.
Probability of spread at 1 km is invalid.	La probabilidad de diseminación a 1 km es inválida.
Transport delay PDF is not set.	Demora de transporte FDP no está establecida.
Transport delay PDF is not valid:	Demora de transporte FDP no es válida:
Airborne spread from xyz to zyx:	Diseminación aérea de xyz a xyz:
Probability of infection transfer is not set.	La probabilidad de transferencia de infección no está establecida.
Fixed contact rate is not set.	La tasa de contacto fijo no está establecida.
Mean contact rate is not set.	La tasa de contacto media no está establecida.
Transport distance PDF is not set.	La distancia de transporte FDP no está establecida.
Transport distance PDF is not valid:	La distancia de transporte FDP no es válida:
Movement control function is not set.	La función de control de movimiento no está establecida.
Movement control function is not valid:	La función de control de movimiento no es válida:
Direct	Directo
Indirect	Indirecto
Direct/indirect contact from xyz to zyx:	Contacto directo/indirecto de xyz a xyz:
Destruction ring radius must be specified.	El radio anular de destrucción debe ser especificado.
Probability of direct trace success must be between 0 and 1.	Probabilidad de éxito de rastreo directo debe estar entre 0 y 1.
Probability of indirect trace success must be between 0 and 1.	Probabilidad de éxito de rastreo indirecto debe estar entre 0 y 1.
Destruction parameters for xyz:	Paámetros de destrucción para xyz:
Latent period PDF is not set.	El período latente FDP no está establecido.
Latent period PDF is not valid:	El período latente FDP no es válido:
Subclinical period PDF is not set.	El período subclínico FDP no está establecido.
Subclinical period PDF is not valid:	El período subclínico FDP no es válido:
Clinical period PDF is not set.	El período clínico FDP no está establecido.
Clinical period PDF is not valid:	El período clínico FDP no es válido.
Immune period PDF is not set.	El período inmune FDP no está establecido.
Immune period PDF is not valid:	El período inmune FDP no es válido.
Prevalence REL function is not set.	La función Prevalencia REL no ha sido configurada.
Prevalence REL function is not valid:	La función Prevalencia REL no es válida.
Detection is indicated, but parameters are not set.	La detección ha sido indicada pero los parámetros no han sido configurados
Detection parameters are not valid:	Los parámetros de detección no son válidos
Destruction is indicated, but parameters are not set.	La destrucción se ha indicado pero los parámetros no han sido configurados
Destruction parameters are not valid:	Parámetros de destrucción inválidos:
Ring vaccination is indicated, but parameters are not set.	Vacunación en anillo ha sido indicada pero los parámetros no han sido configurados
Ring vaccination parameters are not valid:	Parámetros de vacunación en anillo inválidos
Vaccination is indicated, but parameters are not set.	Se ha indicado vacunación pero los parámetros no han sido configurados.
Vaccination parameters are not valid:	Parámetros de vacunación inválidos:
Cost accounting is indicated, but parameters are not set.	Contabilidad de costos han sido indicados pero los parámetros no han sido configurados
Destruction cost parameters are not valid:	Parámetros de costos de destrucción inválidos:
Vaccination cost parameters are not valid:	Parámetros de costos de vacunación inválidos:
Use of zones is indicated, but parameters are not set.	Se ha indicado el uso de zonas pero los parámetros no han sido configurados
Zone parameters are not valid:	Parámetros de zona inválidos:
Production type xyz:	Tipo de producción xyz:
Disease transition is not occurring in any production type.	No ocurre enfermedad en transición en ningún tipo de producción.
Destruction is specified but is not used for any production type.	Se ha especificado destrucción pero no se ha usado en ningún tipo de producción
Use of ring destruction is specified, but no production type is targeted for ring destruction.	Se ha especificado el uso de destrucción en anillo pero no hay ningún tipo de producción que sea blanco de destrucción en anillo
Use of ring destruction is specified, but is not triggered by any production type.	Se ha especificado el uso de destrucción en anillo pero no ha sido disparada por ningún tipo de producción
Production type destruction priorities are ambiguous: please double-check these parameters.	Las prioridades de destrucción de tipos de producción son ambiguas: por favor verifique estos parámetros
